text,label
Your Jio plan is now active until 6/09/2025.,0
Transaction of ₹14687 to Amazon was successful.,0
Transaction of ₹10275 to Amazon was successful.,0
Your OTP is 404899. Do not share it with anyone.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Reminder: Pay your electricity bill by 23/06/2025.,0
Recharge of ₹11239 completed. Thank you for using PayTM.,0
Transaction of ₹1715 to Amazon was successful.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Your Jio plan is now active until 12/08/2025.,0
Your ticket #2293 to Chennai has been confirmed.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your Jio plan is now active until 17/07/2025.,0
Transaction of ₹8223 to Amazon was successful.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Recharge of ₹16661 completed. Thank you for using PayTM.,0
Your OTP is 193653. Do not share it with anyone.,0
Reminder: Pay your electricity bill by 27/06/2025.,0
₹9030 received via UPI from arjun@ybl,0
Your ticket #3605 to Chennai has been confirmed.,0
Recharge of ₹949 completed. Thank you for using PayTM.,0
Your OTP is 357201. Do not share it with anyone.,0
Recharge ₹19050 to activate UPI offer: http://fake-upi.io,1
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Suspicious login attempt. Secure account: http://secure-login.com,1
Claim your ₹3113 reward here: http://fake-rewards.com,1
Loan pre-approved! Apply now: http://loantrap.org,1
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Recharge of ₹5155 completed. Thank you for using PayTM.,0
Your ticket #5949 to Chennai has been confirmed.,0
₹4356 received via UPI from raj@ybl,0
Loan pre-approved! Apply now: http://loantrap.org,1
Your OTP is 172961. Do not share it with anyone.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Loan pre-approved! Apply now: http://loantrap.org,1
Driver raj is arriving in 5 mins. Ride: Swift.,0
₹14346 received via UPI from raj@ybl,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Driver raj is arriving in 5 mins. Ride: Swift.,0
Your Jio plan is now active until 23/06/2025.,0
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Recharge of ₹17482 completed. Thank you for using PayTM.,0
Verify your account: http://bank-scam.in,1
Recharge ₹16004 to activate UPI offer: http://fake-upi.io,1
Your ticket #2252 to Chennai has been confirmed.,0
Claim your ₹15093 reward here: http://fake-rewards.com,1
Reminder: Pay your electricity bill by 5/08/2025.,0
Reminder: Pay your electricity bill by 21/09/2025.,0
₹16346 received via UPI from arjun@ybl,0
Your order #8575 has been shipped via Bluedart.,0
Driver priya is arriving in 5 mins. Ride: i20.,0
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Loan pre-approved! Apply now: http://loantrap.org,1
Your OTP is 221552. Do not share it with anyone.,0
Your Jio plan is now active until 6/07/2025.,0
Recharge ₹3426 to activate UPI offer: http://fake-upi.io,1
Your Jio plan is now active until 17/07/2025.,0
Account balance: ₹11358. No recent transactions.,0
Your Jio plan is now active until 16/08/2025.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Suspicious login attempt. Secure account: http://secure-login.com,1
Transaction of ₹15126 to Amazon was successful.,0
Your ticket #9706 to Chennai has been confirmed.,0
Account balance: ₹17543. No recent transactions.,0
Your Jio plan is now active until 24/08/2025.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Your Jio plan is now active until 7/09/2025.,0
Recharge ₹446 to activate UPI offer: http://fake-upi.io,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Transaction of ₹180 to Amazon was successful.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Your order #3204 has been shipped via Bluedart.,0
Your order #9800 has been shipped via Bluedart.,0
₹4611 received via UPI from kavi@ybl,0
Recharge of ₹2017 completed. Thank you for using PayTM.,0
Your ticket #8978 to Chennai has been confirmed.,0
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
Recharge ₹16481 to activate UPI offer: http://fake-upi.io,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Payment failed. Reauthenticate at: http://upi-alerts.net,1
Your order #4765 has been shipped via Bluedart.,0
Reminder: Pay your electricity bill by 19/08/2025.,0
₹11037 received via UPI from raj@ybl,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Claim your ₹2774 reward here: http://fake-rewards.com,1
₹2984 received via UPI from arjun@ybl,0
Verify your account: http://bank-scam.in,1
Driver kavi is arriving in 5 mins. Ride: i20.,0
Your ticket #7877 to Chennai has been confirmed.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Your order #7761 has been shipped via Bluedart.,0
Recharge ₹4686 to activate UPI offer: http://fake-upi.io,1
Account balance: ₹1050. No recent transactions.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Recharge of ₹14596 completed. Thank you for using PayTM.,0
Driver raj is arriving in 5 mins. Ride: WagonR.,0
₹4012 received via UPI from meena@ybl,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Your ticket #3085 to Chennai has been confirmed.,0
Recharge ₹7491 to activate UPI offer: http://fake-upi.io,1
Claim your ₹436 reward here: http://fake-rewards.com,1
Recharge of ₹13739 completed. Thank you for using PayTM.,0
WIN a free iPhone! Click to claim: http://prize-scam.io,1
Loan pre-approved! Apply now: http://loantrap.org,1
Recharge of ₹12478 completed. Thank you for using PayTM.,0
Suspicious login attempt. Secure account: http://secure-login.com,1
Claim your ₹480 reward here: http://fake-rewards.com,1
Recharge of ₹18191 completed. Thank you for using PayTM.,0
"Dear customer, your account has been suspended. Verify now: http://scamurl.com",1
Verify your account: http://bank-scam.in,1
Claim your ₹7728 reward here: http://fake-rewards.com,1
Your ticket #4033 to Chennai has been confirmed.,0
Reminder: Pay your electricity bill by 2/09/2025.,0
Your Jio plan is now active until 4/08/2025.,0
Loan pre-approved! Apply now: http://loantrap.org,1
Update PAN immediately to avoid block: http://pan-fake.gov.in,1
URGENT: KYC update required. Click: http://kyc-fraud.in,1
Loan pre-approved! Apply now: http://loantrap.org,1
